"","X","AnimalName","AnimalGender","AnimalBirthMonth","BreedName","Borough","ZipCode","CommunityDistrict","CensusTract2010","NTA","CityCouncilDistrict","CongressionalDistrict","StateSenatorialDistrict","LicenseIssuedDate","LicenseExpiredDate","BirthYear","BirthMonth","LicenseIssuedYear","LicenseIssuedMonth","LicenseExpiredYear","LicenseExpiredMonth","index"
"90",83538,"FELIX","M",2014-08-01,"Italian Greyhound","Manhattan",10028,108,"14801","MN40",4,12,28,2015-01-01,"07/07/2020","2014","08","2015","07","2020","07",11
"91",35842,"UNKNOWN","M",2014-08-01,"Pug","Brooklyn",11215,306,"157","BK37",39,9,21,2015-01-01,"01/16/2016","2014","08","2015","01","2016","01",12
"92",21573,"NAMENOTPROVIDED","F",2014-09-01,"Alaskan Malamute","Queens",11355,407,"1189","QN52",20,6,16,2015-01-01,"01/06/2016","2014","09","2015","01","2016","01",13
"93",81849,"NAMENOTPROVIDED","M",2014-09-01,"Jack Russell Terrier","Manhattan",10017,106,"88","MN19",4,12,28,2015-01-01,"01/28/2016","2014","09","2015","01","2016","01",14
"94",1995,"PEANUT","M",2014-09-01,"Beagle","Queens",11356,407,"925","QN23",19,14,11,2015-01-01,"01/05/2016","2014","09","2015","01","2016","01",15
"95",44414,"NAMENOTPROVIDED","F",2014-09-01,"Yorkshire Terrier","Staten Island",10303,501,"223","SI12",49,11,23,2015-01-01,"01/29/2016","2014","09","2015","01","2016","01",16
"96",96506,"RUDY","M",2014-09-01,"Yorkshire Terrier","Manhattan",10025,107,"181","MN12",6,10,30,2015-01-01,"01/10/2016","2014","09","2015","01","2016","01",17
"97",81767,"DEXTER","M",2014-10-01,"Labrador Retriever Crossbreed","Manhattan",10028,108,"136","MN32",5,12,28,2015-01-01,"01/17/2016","2014","10","2015","01","2016","01",18
"98",30454,"NAMENOTPROVIDED","M",2014-10-01,"Yorkshire Terrier","Brooklyn",11207,305,"1156","BK85",42,8,19,2015-01-01,"01/21/2016","2014","10","2015","01","2016","01",19
"99",81889,"NAMENOTPROVIDED","F",2014-10-01,"Pekingese","Manhattan",10065,108,"110","MN31",4,12,28,2015-01-01,"02/02/2016","2014","10","2015","02","2016","02",20
"100",26392,"NAMENOTPROVIDED","F",2014-10-01,"Chihuahua","Brooklyn",11206,304,"389","BK78",34,7,18,2015-01-01,"01/21/2016","2014","10","2015","01","2016","01",21
"101",62438,"UNKNOWN","M",2014-10-01,"Shiba Inu","Manhattan",10038,101,"1502","MN25",1,10,26,2015-01-01,"01/31/2016","2014","10","2015","01","2016","01",22
"102",81762,"JACKSON","M",2014-10-01,"Poodle, Miniature","Manhattan",10075,108,"132","MN31",5,12,28,2015-01-01,"01/16/2016","2014","10","2015","01","2016","01",23
"103",11311,"HITOSHI","M",2014-10-01,"Shiba Inu","Queens",11372,403,"281","QN28",25,14,13,2015-01-01,"01/11/2016","2014","10","2015","01","2016","01",24
"104",112350,"NAMENOTPROVIDED","M",2014-10-01,"Pomeranian","Bronx",10473,209,"16","BX09",18,15,34,2015-01-01,"01/14/2016","2014","10","2015","01","2016","01",25
"105",39727,"ARROW","M",2014-10-01,"Shih Tzu","Brooklyn",11209,310,"38","BK31",43,11,22,2015-01-01,"01/13/2016","2014","10","2015","01","2016","01",26
"106",35871,"KAI","M",2014-10-01,"American Pit Bull Mix / Pit Bull Mix","Brooklyn",11215,307,"169","BK40",38,9,21,2015-01-01,"01/24/2016","2014","10","2015","01","2016","01",27
"107",39786,"SOJU","M",2014-10-01,"Maltese","Brooklyn",11223,315,"386","BK26",47,11,22,2015-01-01,"01/29/2016","2014","10","2015","01","2016","01",28
"108",81854,"MIRO","M",2014-11-01,"Yorkshire Terrier","Manhattan",10010,106,"68","MN21",2,12,28,2015-01-01,"01/29/2016","2014","11","2015","01","2016","01",29
"109",62445,"DUMBO","M",2014-11-01,"French Bulldog","Manhattan",10038,101,"1502","MN25",1,10,26,2015-01-01,"02/02/2016","2014","11","2015","02","2016","02",30
"110",8229,"MADDIE","F",2014-12-01,"Boston Terrier","Queens",11103,401,"141","QN70",22,14,12,2015-01-01,"12/12/2016","2014","12","2015","12","2016","12",31
"111",33633,"TEDDIE","F",2015-02-01,"Labradoodle","Brooklyn",11225,309,"800","BK60",40,9,20,2015-01-01,"07/07/2016","2015","02","2015","07","2016","07",32
"112",71670,"MIRABELLE","F",2015-02-01,"Border Collie","Manhattan",10018,104,"111","MN13",3,10,27,2015-01-01,"06/06/2016","2015","02","2015","06","2016","06",33
"113",102962,"LOLITA","F",2015-03-01,"Terrier Crossbreed","Manhattan",10036,104,"117","MN13",3,10,31,2015-01-01,"06/06/2016","2015","03","2015","06","2016","06",34
"114",24737,"NAMENOTPROVIDED","M",2015-04-01,"Maltese","Brooklyn",11229,315,"550","BK44",48,9,17,2015-01-01,"06/06/2016","2015","04","2015","06","2016","06",35
"115",110895,"NAMENOTPROVIDED","M",2015-05-01,"Puggle","Bronx",10458,207,"40702","BX05",15,13,33,2015-01-01,"08/08/2016","2015","05","2015","08","2016","08",36
"116",30516,"BROWNIE","M",2014-01-01,"Poodle","Brooklyn",11236,318,"956","BK50",46,8,19,2015-02-01,"02/24/2016","2014","01","2015","02","2016","02",37
"117",39825,"SAMMY","M",2014-05-01,"Beagle","Brooklyn",11204,311,"264","BK28",43,10,22,2015-02-01,"02/10/2016","2014","05","2015","02","2016","02",38
"118",70339,"RILEY","M",2014-06-01,"Bluetick Coonhound","Manhattan",10014,102,"67","MN23",3,10,27,2015-02-01,"02/22/2016","2014","06","2015","02","2016","02",39
"119",62599,"CHIKITA","F",2014-08-01,"Chihuahua","Brooklyn",11222,301,"561","BK76",33,12,26,2015-02-01,"02/24/2016","2014","08","2015","02","2016","02",40
"120",57249,"NAMENOTPROVIDED","M",2014-09-01,"Unknown","Brooklyn",11238,302,"201","BK69",35,8,25,2015-02-01,"02/09/2016","2014","09","2015","02","2016","02",41
"121",102239,"EHRMIE","M",2014-09-01,"Collie Crossbreed","Manhattan",10033,112,"265","MN36",10,13,31,2015-02-01,"02/07/2016","2014","09","2015","02","2016","02",42
"122",33263,"BAYMAX","M",2014-10-01,"Shiba Inu","Brooklyn",11220,307,"78","BK32",38,7,20,2015-02-01,"02/26/2016","2014","10","2015","02","2016","02",43
"123",110500,"UNKNOWN","F",2014-10-01,"Schnauzer, Miniature","Bronx",10456,204,"17901","BX14",16,15,33,2015-02-01,"02/09/2016","2014","10","2015","02","2016","02",44
"124",2171,"DAKOTA","F",2014-11-01,"Boxer","Queens",11362,411,"152901","QN45",23,3,11,2015-02-01,"02/28/2016","2014","11","2015","02","2016","02",45
"125",6831,"JED","M",2014-11-01,"Labrador Retriever Crossbreed","Queens",11101,402,"1","QN31",26,12,12,2015-02-01,"02/26/2016","2014","11","2015","02","2016","02",46
"126",39887,"NAMENOTPROVIDED","F",2014-11-01,"Pomeranian","Brooklyn",11204,311,"274","BK28",47,10,22,2015-02-01,"02/25/2016","2014","11","2015","02","2016","02",47
"127",39819,"HUNTER","M",2014-11-01,"Brittany","Brooklyn",11228,310,"208","BK30",43,11,22,2015-02-01,"02/08/2016","2014","11","2015","02","2016","02",48
"128",62490,"SUKOSHI","M",2014-11-01,"Shih Tzu","Manhattan",10009,103,"2202","MN28",2,12,26,2015-02-01,"02/09/2016","2014","11","2015","02","2016","02",49
"129",70350,"UNKNOWN","M",2014-11-01,"Dachshund","Manhattan",10001,104,"103","MN13",3,10,27,2015-02-01,"02/23/2016","2014","11","2015","02","2016","02",50
"130",81995,"UNKNOWN","M",2014-11-01,"Golden Retriever","Manhattan",10010,105,"54","MN13",3,12,28,2015-02-01,"02/17/2016","2014","11","2015","02","2016","02",51
"131",108,"NAMENOTPROVIDED","F",2014-11-01,"German Shepherd Dog","Queens",11419,410,"96","QN55",28,5,10,2015-02-01,"02/25/2016","2014","11","2015","02","2016","02",52
"132",6818,"UNKNOWN","F",2014-12-01,"Pomeranian","Queens",11106,401,"57","QN70",26,12,12,2015-02-01,"02/21/2016","2014","12","2015","02","2016","02",53
"133",62790,"RONDO","F",2014-01-01,"Pomeranian","Manhattan",10012,102,"41","MN24",1,10,26,2015-03-01,"03/23/2016","2014","01","2015","03","2016","03",54
"134",57511,"SHILO","M",2014-01-01,"Unknown","Brooklyn",11231,306,"85","BK33",38,7,25,2015-03-01,"03/30/2016","2014","01","2015","03","2016","03",55
"135",2190,"COCO","F",2014-01-01,"Maltese","Queens",11358,411,"1429","QN48",19,6,11,2015-03-01,"03/04/2016","2014","01","2015","03","2016","03",56
"136",6929,"BENJI","M",2014-03-01,"Yorkshire Terrier","Queens",11101,401,"25","QN68",26,12,12,2015-03-01,"03/19/2016","2014","03","2015","03","2016","03",57
"137",26641,"MIKO","M",2014-05-01,"Shiba Inu","Brooklyn",11206,303,"287","BK35",36,8,18,2015-03-01,"03/27/2016","2014","05","2015","03","2016","03",58
"138",49141,"SONNY","M",2014-06-01,"Bull Dog, English","Staten Island",10301,501,"59","SI35",49,11,24,2015-03-01,"03/23/2017","2014","06","2015","03","2017","03",59
"139",33311,"COCO","F",2014-07-01,"Yorkshire Terrier","Brooklyn",11212,316,"908","BK81",41,8,20,2015-03-01,"03/22/2016","2014","07","2015","03","2016","03",60
"140",44624,"COFFEE","F",2014-08-01,"Labrador Retriever Crossbreed","Brooklyn",11224,313,"342","BK21",47,8,23,2015-03-01,"03/28/2020","2014","08","2015","03","2020","03",61
"141",118895,"UNKNOWN","F",2014-08-01,"Unknown","Brooklyn",11209,NA,"NULL","NULL",NA,NA,NA,2015-03-01,"03/27/2016","2014","08","2015","03","2016","03",62
"142",16384,"BRUNO","M",2014-09-01,"Labrador Retriever Crossbreed","Queens",11379,405,"621","QN21",30,6,15,2015-03-01,"03/01/2016","2014","09","2015","03","2016","03",63
"143",2194,"NAMENOTPROVIDED","F",2014-10-01,"Siberian Husky","Queens",11356,407,"929","QN23",19,14,11,2015-03-01,"03/04/2016","2014","10","2015","03","2016","03",64
"144",82319,"NAPOLEON","M",2014-10-01,"French Bulldog","Manhattan",10016,105,"74","MN17",2,12,28,2015-03-01,"03/24/2016","2014","10","2015","03","2016","03",65
"145",6899,"DANIEL","M",2014-10-01,"Pug","Queens",11105,401,"119","QN72",22,14,12,2015-03-01,"03/12/2016","2014","10","2015","03","2016","03",66
"146",62707,"CHARLI","F",2014-11-01,"Maltese","Brooklyn",11231,306,"45","BK33",39,7,26,2015-03-01,"03/11/2016","2014","11","2015","03","2016","03",67
"147",26651,"THOR","M",2014-11-01,"Norwegian Elkhound","Brooklyn",11221,304,"393","BK78",34,7,18,2015-03-01,"03/30/2016","2014","11","2015","03","2016","03",68
"148",49073,"NAMENOTPROVIDED","F",2014-11-01,"Rottweiler","Staten Island",10314,502,"29103","SI05",50,11,24,2015-03-01,"03/10/2016","2014","11","2015","03","2016","03",69
"149",136,"RAFA","M",2014-11-01,"Yorkshire Terrier","Queens",11434,412,"33401","QN08",27,5,10,2015-03-01,"03/09/2016","2014","11","2015","03","2016","03",70
"150",36084,"SAMSON","M",2014-11-01,"Mastiff","Brooklyn",11226,317,"792","BK95",40,9,21,2015-03-01,"03/27/2016","2014","11","2015","03","2016","03",71
"151",6879,"UNKNOWN","F",2014-12-01,"Pomeranian","Queens",11101,402,"187","QN31",26,14,12,2015-03-01,"03/09/2016","2014","12","2015","03","2016","03",72
"152",21737,"LUKAS","M",2014-12-01,"West High White Terrier","Queens",11374,405,"679","QN21",29,6,16,2015-03-01,"03/24/2016","2014","12","2015","03","2016","03",73
"153",49063,"CHIEF","M",2014-12-01,"German Shepherd Crossbreed","Staten Island",10314,502,"27301","SI05",50,11,24,2015-03-01,"03/09/2016","2014","12","2015","03","2016","03",74
"154",39953,"NAMENOTPROVIDED","M",2014-12-01,"Beagle","Brooklyn",11220,310,"30","BK31",43,11,22,2015-03-01,"03/18/2016","2014","12","2015","03","2016","03",75
"155",91940,"UNKNOWN","M",2014-12-01,"Unknown","Bronx",10452,204,"195","BX63",8,15,29,2015-03-01,"03/10/2016","2014","12","2015","03","2016","03",76
"156",70657,"LUCI","F",2014-12-01,"Boxer","Manhattan",10014,102,"71","MN23",3,10,27,2015-03-01,"03/25/2016","2014","12","2015","03","2016","03",77
"157",44593,"REX","M",2015-01-01,"American Pit Bull Mix / Pit Bull Mix","Brooklyn",11224,313,"336","BK21",47,8,23,2015-03-01,"03/19/2016","2015","01","2015","03","2016","03",78
"158",110621,"LAYLA","F",2014-01-01,"Poodle","Bronx",10458,206,"389","BX06",15,15,33,2015-04-01,"04/13/2016","2014","01","2015","04","2016","04",79
"159",70908,"WOODLEY","F",2014-01-01,"Labradoodle","Manhattan",10023,107,"159","MN14",6,10,27,2015-04-01,"05/05/2016","2014","01","2015","04","2016","05",80
"160",26733,"ROCKSY","F",2014-01-01,"German Shepherd Crossbreed","Brooklyn",11211,301,"519","BK73",34,12,18,2015-04-01,"05/16/2018","2014","01","2015","04","2018","05",81
"161",7023,"CHARLIE","F",2014-01-01,"Labrador Retriever","Queens",11105,401,"103","QN72",22,14,12,2015-04-01,"05/23/2017","2014","01","2015","04","2017","05",82
"162",82446,"BROOKLYN","M",2014-01-01,"Shih Tzu","Manhattan",10075,108,"138","MN32",5,12,28,2015-04-01,"04/24/2020","2014","01","2015","04","2020","04",83
"163",26672,"HOWARD","M",2014-03-01,"Lhasa Apso","Brooklyn",11206,301,"489","BK78",34,7,18,2015-04-01,"04/03/2016","2014","03","2015","04","2016","04",84
"164",110680,"NALA","F",2014-04-01,"Pug","Bronx",10468,205,"239","BX40",14,15,33,2015-04-01,"04/29/2016","2014","04","2015","04","2016","04",85
"165",97081,"PIMIENTO","M",2014-04-01,"American Pit Bull Terrier/Pit Bull","Manhattan",10031,109,"227","MN04",7,13,30,2015-04-01,"04/26/2016","2014","04","2015","04","2016","04",86
"166",118930,"BAXTER","M",2014-07-01,"German Shepherd Dog","Queens",11374,NA,"NULL","NULL",NA,NA,NA,2015-04-01,"04/08/2016","2014","07","2015","04","2016","04",87
"167",57538,"LUCY","F",2014-09-01,"Rat Terrier","Brooklyn",11231,306,"65","BK33",39,7,25,2015-04-01,"04/06/2016","2014","09","2015","04","2016","04",88
"168",92078,"HANK","M",2014-09-01,"Rottweiler","Manhattan",10024,107,"169","MN12",6,10,29,2015-04-01,"04/08/2016","2014","09","2015","04","2016","04",89
"169",110676,"MATHIAS","M",2014-10-01,"Black and Tan Coonhound","Bronx",10458,206,"391","BX06",15,15,33,2015-04-01,"04/29/2016","2014","10","2015","04","2016","04",90
"170",82528,"BOLT","M",2014-10-01,"Shih Tzu","Manhattan",10028,108,"142","MN40",4,12,28,2015-04-01,"04/10/2020","2014","10","2015","04","2020","04",91
"171",71180,"RICKY","M",2014-11-01,"American Eskimo dog","Manhattan",10014,102,"67","MN23",3,10,27,2015-04-01,"04/28/2016","2014","11","2015","04","2016","04",92
"172",108169,"NAMENOTPROVIDED","F",2014-12-01,"Yorkshire Terrier","Bronx",10473,209,"42","BX09",18,15,32,2015-04-01,"04/27/2016","2014","12","2015","04","2016","04",93
"173",92065,"JAXX","M",2014-12-01,"Shih Tzu","Bronx",10451,201,"51","BX39",8,15,29,2015-04-01,"04/06/2016","2014","12","2015","04","2016","04",94
"174",96991,"UNKNOWN","F",2015-01-01,"Pomeranian","Manhattan",10027,110,"257","MN11",9,13,30,2015-04-01,"04/13/2016","2015","01","2015","04","2016","04",95
"175",2370,"DREAMER","F",2015-01-01,"Australian Shepherd","Queens",11361,411,"1113","QN46",19,6,11,2015-04-01,"04/22/2016","2015","01","2015","04","2016","04",96
"176",110646,"ROMEO","M",2015-01-01,"Maltese","Bronx",10456,203,"14702","BX01",16,15,33,2015-04-01,"04/19/2016","2015","01","2015","04","2016","04",97
"177",6994,"HARPER","F",2015-01-01,"Australian Shepherd","Manhattan",11109,402,"1","QN31",26,12,12,2015-04-01,"04/03/2016","2015","01","2015","04","2016","04",98
"178",14136,"UNKNOWN","M",2015-01-01,"Unknown","Queens",11433,412,"414","QN01",27,5,14,2015-04-01,"04/21/2016","2015","01","2015","04","2016","04",99
"179",21866,"SASSY","F",2015-01-01,"Yorkshire Terrier","Queens",11365,408,"122702","QN38",24,6,16,2015-04-01,"04/28/2016","2015","01","2015","04","2016","04",100
"180",71078,"DEFOREST","M",2015-01-01,"German Shepherd Crossbreed","Manhattan",10009,103,"2602","MN28",2,12,27,2015-04-01,"04/22/2016","2015","01","2015","04","2016","04",101
"181",16676,"UNKNOWN","M",2015-01-01,"Shih Tzu","Queens",11417,410,"58","QN56",32,8,15,2015-04-01,"04/27/2016","2015","01","2015","04","2016","04",102
"182",70932,"THEODORE","M",2015-02-01,"Golden Retriever","Manhattan",10011,104,"81","MN13",3,12,27,2015-04-01,"04/12/2016","2015","02","2015","04","2016","04",103
"183",16648,"SHITZU2","M",2015-02-01,"Shih Tzu","Queens",11417,410,"58","QN56",32,8,15,2015-04-01,"04/23/2016","2015","02","2015","04","2016","04",104
"184",36110,"COCO","F",2015-02-01,"American Pit Bull Terrier/Pit Bull","Brooklyn",11210,317,"782","BK91",45,9,21,2015-04-01,"04/02/2016","2015","02","2015","04","2016","04",105
"185",102666,"RUFUS","M",2015-02-01,"Labrador Retriever","Manhattan",10024,107,"171","MN12",6,10,31,2015-04-01,"04/19/2016","2015","02","2015","04","2016","04",106
"186",21893,"CHLOE","F",2014-01-01,"Papillon","Queens",11367,408,"809","QN37",24,6,16,2015-05-01,"05/04/2016","2014","01","2015","05","2016","05",107
"187",71365,"OLIVIA","F",2014-03-01,"French Bulldog","Manhattan",10003,103,"40","MN22",2,12,27,2015-05-01,"05/13/2016","2014","03","2015","05","2016","05",108
"188",273,"MAXIMUS","M",2014-04-01,"Labrador Retriever","Queens",11420,410,"166","QN55",28,5,10,2015-05-01,"05/17/2016","2014","04","2015","05","2016","05",109
"189",108218,"KARISMA","F",2014-05-01,"American Pit Bull Terrier/Pit Bull","Bronx",10473,209,"42","BX09",18,15,32,2015-05-01,"05/11/2016","2014","05","2015","05","2016","05",110
"190",21934,"BOOBEAR","M",2014-06-01,"Shih Tzu","Queens",11365,408,"122701","QN38",24,6,16,2015-05-01,"05/17/2016","2014","06","2015","05","2016","05",111
"191",71421,"MILLY","F",2014-09-01,"Bassett Hound","Manhattan",10011,105,"54","MN13",3,12,27,2015-05-01,"05/18/2020","2014","09","2015","05","2020","05",112
"192",102816,"NAMENOTPROVIDED","F",2014-11-01,"Yorkshire Terrier","Manhattan",10040,112,"279","MN35",10,13,31,2015-05-01,"05/14/2016","2014","11","2015","05","2016","05",113
"193",102891,"SHILOH","M",2014-11-01,"Beagle Crossbreed","Manhattan",10034,112,"299","MN01",10,13,31,2015-05-01,"05/28/2016","2014","11","2015","05","2016","05",114
"194",26869,"CHASE","M",2014-11-01,"German Shepherd Dog","Brooklyn",11205,303,"1237","BK75",33,7,18,2015-05-01,"05/10/2016","2014","11","2015","05","2016","05",115
"195",267,"NAMENOTPROVIDED","M",2014-12-01,"Beagle","Queens",11419,409,"148","QN54",28,5,10,2015-05-01,"05/14/2016","2014","12","2015","05","2016","05",116
"196",97225,"COCKTAIL","M",2014-12-01,"Dachshund Smooth Coat Miniature","Manhattan",10037,110,"212","MN03",9,13,30,2015-05-01,"05/16/2016","2014","12","2015","05","2016","05",117
"197",16789,"CHARLY","M",2015-01-01,"Soft Coated Wheaten Terrier","Queens",11378,405,"595","QN20",30,6,15,2015-05-01,"05/18/2016","2015","01","2015","05","2016","05",118
"198",82943,"NAMENOTPROVIDED","M",2015-01-01,"Shih Tzu","Manhattan",10028,108,"15001","MN40",4,12,28,2015-05-01,"05/12/2016","2015","01","2015","05","2016","05",119
"199",16738,"UNKNOWN","M",2015-01-01,"Beagle","Queens",11414,410,"6201","QN57",32,8,15,2015-05-01,"05/06/2016","2015","01","2015","05","2016","05",120
"200",110695,"OLIVER","M",2015-01-01,"Yorkshire Terrier","Bronx",10453,207,"255","BX30",14,15,33,2015-05-01,"05/06/2016","2015","01","2015","05","2016","05",121
"201",21891,"NAMENOTPROVIDED","F",2015-02-01,"Shiba Inu","Queens",11358,407,"1171","QN51",20,6,16,2015-05-01,"05/03/2016","2015","02","2015","05","2016","05",122
"202",119056,"DUNCAN","M",2015-02-01,"Beagle Crossbreed","Bronx",10469,NA,"NULL","NULL",NA,NA,NA,2015-05-01,"05/09/2016","2015","02","2015","05","2016","05",123
"203",30767,"LUCY","F",2015-02-01,"Chihuahua","Brooklyn",11234,318,"69601","BK45",46,8,19,2015-05-01,"05/21/2016","2015","02","2015","05","2016","05",124
"204",11646,"SONNY","M",2015-03-01,"Siberian Husky","Queens",11369,403,"371","QN27",21,14,13,2015-05-01,"05/16/2016","2015","03","2015","05","2016","05",125
"205",293,"VANLENTINO","M",2015-03-01,"Yorkshire Terrier","Queens",11420,410,"84602","QN55",28,5,10,2015-05-01,"05/30/2016","2015","03","2015","05","2016","05",126
"206",30794,"LILAC","F",2015-03-01,"Maltese","Brooklyn",11229,315,"642","BK44",48,9,19,2015-05-01,"05/28/2016","2015","03","2015","05","2016","05",127
"207",27033,"SAMMY","M",2014-01-01,"Miniature Pinscher","Brooklyn",11237,304,"427","BK77",34,7,18,2015-06-01,"06/13/2016","2014","01","2015","06","2016","06",128
"208",71854,"KRAFT","M",2014-02-01,"Maltipoo","Manhattan",10011,105,"54","MN13",3,12,27,2015-06-01,"06/19/2020","2014","02","2015","06","2020","06",129
"209",108313,"VEGAS","F",2014-02-01,"Pomeranian","Bronx",10460,206,"363","BX17",17,15,32,2015-06-01,"06/13/2016","2014","02","2015","06","2016","06",130
"210",63441,"TASSIE","F",2014-03-01,"Wire Fox Terrier","Manhattan",10038,101,"1501","MN25",1,10,26,2015-06-01,"05/31/2016","2014","03","2015","06","2016","05",131
"211",14277,"MACI","F",2014-03-01,"Shih Tzu","Queens",11432,408,"1265","QN38",24,6,14,2015-06-01,"06/18/2020","2014","03","2015","06","2020","06",132
"212",83388,"KUMA","M",2014-03-01,"Shiba Inu","Manhattan",10017,106,"90","MN19",4,12,28,2015-06-01,"06/23/2016","2014","03","2015","06","2016","06",133
"213",103089,"VALENTINO","M",2014-03-01,"Bull Dog, French","Manhattan",10036,104,"117","MN13",3,10,31,2015-06-01,"07/23/2016","2014","03","2015","06","2016","07",134
"214",83187,"HENRY","M",2014-03-01,"Poodle, Toy","Manhattan",10016,105,"74","MN17",2,12,28,2015-06-01,"06/04/2016","2014","03","2015","06","2016","06",135
"215",30819,"PRINCESS","F",2014-06-01,"Maltese","Brooklyn",11207,305,"1144","BK85",37,8,19,2015-06-01,"06/05/2016","2014","06","2015","06","2016","06",136
"216",110810,"SHILOH","M",2014-06-01,"Beagle","Bronx",10458,206,"387","BX06",15,15,33,2015-06-01,"06/28/2016","2014","06","2015","06","2016","06",137
"217",102926,"TEO","M",2014-09-01,"Maltese","Manhattan",10034,112,"291","MN01",10,13,31,2015-06-01,"06/02/2016","2014","09","2015","06","2016","06",138
"218",36405,"BIGGIE","M",2014-09-01,"Havanese","Brooklyn",11210,314,"750","BK43",45,9,21,2015-06-01,"06/11/2017","2014","09","2015","06","2017","06",139
"219",342,"BANDIT","F",2014-10-01,"French Bulldog","Queens",11418,409,"132","QN54",29,6,10,2015-06-01,"06/21/2016","2014","10","2015","06","2016","06",140
"220",36504,"CARLTON","M",2014-10-01,"Silky Terrier","Brooklyn",11210,318,"776","BK58",45,9,21,2015-06-01,"06/30/2016","2014","10","2015","06","2016","06",141
"221",71822,"WALLY","M",2014-10-01,"Soft Coated Wheaten Terrier","Manhattan",10023,107,"157","MN14",6,10,27,2015-06-01,"06/16/2017","2014","10","2015","06","2017","06",142
"222",30882,"NINO","M",2014-11-01,"Chihuahua","Brooklyn",11236,318,"974","BK50",42,8,19,2015-06-01,"06/23/2016","2014","11","2015","06","2016","06",143
"223",2563,"JACK","M",2014-12-01,"Rottweiler","Queens",11357,407,"1017","QN47",19,3,11,2015-06-01,"06/01/2016","2014","12","2015","06","2016","06",144
"224",71826,"LUCA","M",2014-12-01,"Cavalier King Charles Spaniel","Manhattan",10009,106,"44","MN50",4,12,27,2015-06-01,"06/16/2016","2014","12","2015","06","2016","06",145
"225",83223,"DEXTER","M",2015-01-01,"Poodle, Standard","Manhattan",10128,108,"14802","MN40",4,12,28,2015-06-01,"06/09/2016","2015","01","2015","06","2016","06",146
"226",2596,"DENZEL","M",2015-03-01,"Beagle","Queens",11354,407,"919","QN23",19,14,11,2015-06-01,"06/09/2016","2015","03","2015","06","2016","06",147
"227",27054,"BENNO","M",2015-03-01,"Maltese","Brooklyn",11237,304,"427","BK77",34,7,18,2015-06-01,"06/16/2016","2015","03","2015","06","2016","06",148
"228",36457,"UNKNOWN","F",2015-03-01,"Puggle","Brooklyn",11215,307,"141","BK37",39,7,21,2015-06-01,"06/22/2016","2015","03","2015","06","2016","06",149
"229",71664,"UNKNOWN","F",2015-03-01,"Havanese","Manhattan",10011,104,"81","MN13",3,12,27,2015-06-01,"06/05/2016","2015","03","2015","06","2016","06",150
"230",92378,"ROCKY","M",2015-04-01,"Labrador Retriever","Bronx",10452,204,"22102","BX63",16,15,29,2015-06-01,"06/05/2016","2015","04","2015","06","2016","06",151
"231",33558,"UNKNOWN","F",2015-04-01,"Maltese","Brooklyn",11216,308,"31702","BK61",35,9,20,2015-06-01,"06/14/2016","2015","04","2015","06","2016","06",152
"232",117360,"MICKEY","M",2015-04-01,"Shih Tzu","Bronx",10466,212,"422","BX44",12,16,36,2015-06-01,"06/25/2016","2015","04","2015","06","2016","06",153
